Report_Name,"Item type mapping details"
Institution_Name," - All - "
Repository_Name," - All - "
Item_Type,Software
Source_Item_Type,Software||Software
Created,2022-08-26T16:24:44Z
Created_By,IRUS

Title,Authors,Year_Of_Publication,Repository,OAI_ID,URI
"Normalised Squeeziness and Failed Error Propagation Code","Krishna Patel (5841560); Robert Hierons (5710733); David Clark (6684378)",2019,"Sheffield figshare",oai:figshare.com:article/8108204,https://figshare.com/articles/software/Normalised_Squeeziness_and_Failed_Error_Propagation_Code/8108204
"openBF: Julia software for 1D blood flow modelling","Alessandro Melis (5780423)",2018,"Sheffield figshare",oai:figshare.com:article/7166183,https://figshare.com/articles/software/openBF_Julia_software_for_1D_blood_flow_modelling/7166183
"OpenMAS - An open-source multi-agent simulator for systems with complex and arbitrary decision mechanics and dynamic behaviour","James Douthwaite (7891895); Lyudmila Mihaylova (1230156)",2020,"Sheffield figshare",oai:figshare.com:article/11954418,https://figshare.com/articles/software/OpenMAS_-_An_open-source_multi-agent_simulator_for_systems_with_complex_and_arbitrary_decision_mechanics_and_dynamic_behaviour/11954418
"Open Melody - a human-AI collaborative music creativity tool","Robin Laney (3126213)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/13079081,https://figshare.com/articles/software/Open_Melody_-_a_human-AI_collaborative_music_creativity_tool/13079081
"P. Machuca - Ph.D. Code Repository","Pablo Antonio Machuca Varela (4460074)",2021,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/14211035,https://figshare.com/articles/software/P_Machuca_-_Ph_D_Code_Repository/14211035
"Particle Filtering with Soft State Constraints (Matlab code)","Cunjia Liu (1176420); Baibing Li (1254111); Wen-Hua Chen (1251597)",2019,"Loughborough figshare",oai:figshare.com:article/7987403,https://figshare.com/articles/software/Particle_Filtering_with_Soft_State_Constraints_Matlab_code_/7987403
"PCD Detect: Enhancing ciliary features though image averaging and classification","Amelia Shoemark (631175); Pinto, Andreia (6652967); Mitali Patel (6774209); Farheen Daudvohra (8860731); Claire Hogg (4913242); Hannah Mitchison (6770045); Thomas Burgoyne (6761654)",2020,"UCL figshare",oai:figshare.com:article/12327839,https://figshare.com/articles/software/PCD_Detect_Enhancing_ciliary_features_though_image_averaging_and_classification/12327839
"Pelagios GitHub site","Elton Barker (9775649)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/13385510,https://figshare.com/articles/software/Pelagios_GitHub_site/13385510
"Perfect Revivals on Spin Chains","Alastair Kay (4552783)",2016,"Royal Holloway figshare",oai:figshare.com:article/4110033,https://figshare.com/articles/software/Perfect_Revivals_on_Spin_Chains/4110033
"PhD Thesis Additional Data: BioFlux code","Lucy Urwin (5812205); Peter N. Monk (680791)",2022,"Sheffield figshare",oai:figshare.com:article/19213785,https://figshare.com/articles/software/PhD_Thesis_Additional_Data_BioFlux_code/19213785
"Phenotypic variation in Heliconius erato crosses shows iridescent structural colour is sex-linked and controlled by multiple genes - Code used in 1D SAXS data analysis","Juan Enciso (4505311)",2018,"Sheffield figshare",oai:figshare.com:article/6837905,https://figshare.com/articles/software/Phenotypic_variation_in_Heliconius_erato_crosses_shows_iridescent_structural_colour_is_sex-linked_and_controlled_by_multiple_genes_-_Code_used_in_1D_SAXS_data_analysis/6837905
"pipeline_atac_consensus_balanced_peaks for ""Computational analysis of enhancer deregulation in Multiple Myeloma""","Jaime Alvarez Benayas (2762758)",2020,"Sheffield figshare",oai:figshare.com:article/12280904,https://figshare.com/articles/software/pipeline_atac_consensus_balanced_peaks_for_Computational_analysis_of_enhancer_deregulation_in_Multiple_Myeloma_/12280904
"Planetary Image Simulation Raw Code Supplementary to PhD Thesis ""Spin Scanning Cameras for Planetary Exploration: Imager Analysis and Simulation""","George Brydon (7100810)",2021,"UCL figshare",oai:figshare.com:article/16943998,https://figshare.com/articles/software/Planetary_Image_Simulation_Raw_Code_Supplementary_to_PhD_Thesis_Spin_Scanning_Cameras_for_Planetary_Exploration_Imager_Analysis_and_Simulation_/16943998
"Poisson noise model for low-abundance labels in iTRAQ","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327503,https://figshare.com/articles/software/Poisson_noise_model_for_low-abundance_labels_in_iTRAQ/5327503
"Predicting optimal gait characteristics spreadsheet","Izzy Moore (6690647)",2020,"Cardiff Met figshare",oai:figshare.com:article/12383897,https://figshare.com/articles/software/Predicting_optimal_gait_characteristics_spreadsheet/12383897
"Protein Quantification in Synechocystis","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327488,https://figshare.com/articles/software/Protein_Quantification_in_Synechocystis/5327488
"Proteomic background in Synechocystis","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327539,https://figshare.com/articles/software/Proteomic_background_in_Synechocystis/5327539
Pseudo-code,"Julie Chevalier (3177714); Luis Isern arrom (2934528); Koldo Almandoz Forcen (7456970); Christine Chalk (2593678); John Nicholls (2596618)",2021,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/14519943,https://figshare.com/articles/software/Pseudo-code/14519943
"python ASD parser","Angus Taggart (2895707)",2017,"Sheffield figshare",oai:figshare.com:article/5164816,https://figshare.com/articles/software/python_ASD_parser/5164816
"Python neural network and random forest code","Paula Nkulikiyinka (6792839)",2020,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/13256633,https://figshare.com/articles/software/Python_neural_network_and_random_forest_code/13256633
"Radiance scripts for the phased methods","Eleonora Brembilla (4425847)",2017,"Loughborough figshare",oai:figshare.com:article/5631925,https://figshare.com/articles/software/Radiance_scripts_for_the_phased_methods/5631925
"Rainwater Harvesting (RWH) tool for soft fruit production in polytunnels","Jerry Knox (2594704); Niranjan Panigrahi (6787211); Tim Hess (2594677); Ian Holman (2595862)",2021,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/14736459,https://figshare.com/articles/software/Rainwater_Harvesting_RWH_tool_for_soft_fruit_production_in_polytunnels/14736459
"Rank and Select Operations on Binary Strings","Naila Rahman (7581716); Rajeev Raman (234139)",2007,"University of Leicester figshare repository",oai:figshare.com:article/10078238,https://figshare.com/articles/software/Rank_and_Select_Operations_on_Binary_Strings/10078238
"R code for the 'Exploring R packages' series on Dataviz Hub","Yu Liang Weng (8100224)",2021,"Sheffield figshare",oai:figshare.com:article/13802579,https://figshare.com/articles/software/R_code_for_the_Exploring_R_packages_series_on_Dataviz_Hub/13802579
"R Code for Webb &amp; Mindel Marine Extinctions paper","Tom Webb (667007)",2015,"Sheffield figshare",oai:figshare.com:article/1258984,https://figshare.com/articles/software/R_Code_for_Webb_amp_Mindel_Marine_Extinctions_paper/1258984
"R codes and data for &lt;i&gt;Metonymy in Indonesian Prefixal Word-formation&lt;/i&gt;","Gede Primahadi Wijaya Rajeg (1234749)",2018,"Monash figshare",oai:figshare.com:article/6957536,https://figshare.com/articles/software/R_codes_and_data_for_i_Metonymy_in_Indonesian_Prefixal_Word-formation_i_/6957536
Recogito,"Elton Barker (9775649); Rainer Simon (9848056)",2020,"Open Research Data Online (ORDO)",oai:figshare.com:article/13385513,https://figshare.com/articles/software/Recogito/13385513
"Release to ORDA","Robert Turner (2762329)",2021,"Sheffield figshare",oai:figshare.com:article/17113328,https://figshare.com/articles/software/Release_to_ORDA/17113328
"RNAScope Analaysis - Single Cell Heatmaps Fiji Macro","Cameron Nowell (6698087); JULIA VANESSA OYRER (2780089); CHRISTOPHER REID (1084313)",2019,"Monash figshare",oai:figshare.com:article/8142101,https://figshare.com/articles/software/RNAScope_Analaysis_-_Single_Cell_Heatmaps_Fiji_Macro/8142101
"RNAscope Analysis Fiji Macro","Cameron Nowell (6698087); Chris Langmead (6698089)",2019,"Monash figshare",oai:figshare.com:article/8127362,https://figshare.com/articles/software/RNAscope_Analysis_Fiji_Macro/8127362
"R Notebook for &lt;i&gt;Metaphorical profiles and near-synonyms: A corpus-based study of Indonesian words for HAPPINESS&lt;/i&gt;","Gede Primahadi Wijaya Rajeg (1234749)",2019,"Monash figshare",oai:figshare.com:article/8001845,https://figshare.com/articles/software/R_Notebook_for_i_Metaphorical_profiles_and_near-synonyms_A_corpus-based_study_of_Indonesian_words_for_HAPPINESS_i_/8001845
"R Scripts for: Crop diversification and parasitic weed abundance a global meta-analysis","Donald Scott (5805104)",2022,"Sheffield figshare",oai:figshare.com:article/20443896,https://figshare.com/articles/software/R_Scripts_for_Crop_diversification_and_parasitic_weed_abundance_a_global_meta-analysis/20443896
"R scripts for: Identifying cultural, climatic and temporal factors influencing Striga asiatica abundance within rice–maize systems in mid-west Madagascar","Donald Scott (5805104)",2021,"Sheffield figshare",oai:figshare.com:article/14406227,https://figshare.com/articles/software/R_scripts_for_Identifying_cultural_climatic_and_temporal_factors_influencing_Striga_asiatica_abundance_within_rice_maize_systems_in_mid-west_Madagascar/14406227
"sap2012 - Python package","Steven Firth (1171635); Ben Halls (7468253)",2021,"Loughborough figshare",oai:figshare.com:article/17126270,https://figshare.com/articles/software/sap2012_-_Python_package/17126270
"Search-based Stress-test Framework for IC Testing","Basil Eljuse (8350134)",2020,"University of Leicester figshare repository",oai:figshare.com:article/11825652,https://figshare.com/articles/software/Search-based_Stress-test_Framework_for_IC_Testing/11825652
"Secondary Electron Spectral Acquisition iFAST Script (Automatic)","Nicholas Farr (10324901); Gareth M. Hughes (1758457); Cornelia Rodenburg (2161408)",2021,"Sheffield figshare",oai:figshare.com:article/14535993,https://figshare.com/articles/software/Secondary_Electron_Spectral_Acquisition_iFAST_Script_Automatic_/14535993
"Semantic segmentation of explosive volcanic plumes","Thomas Wilkes (8112581)",2021,"Sheffield figshare",oai:figshare.com:article/17061509,https://figshare.com/articles/software/Semantic_segmentation_of_explosive_volcanic_plumes/17061509
"Sequence alignment programs","Thomas Burgoyne (6761654)",2020,"UCL figshare",oai:figshare.com:article/12861257,https://figshare.com/articles/software/Sequence_alignment_programs/12861257
ShellShaper,"Jenny Larsson (3306435)",2019,"Sheffield figshare",oai:figshare.com:article/9944591,https://figshare.com/articles/software/ShellShaper/9944591
"shield.io figshare-doi-badge with logo","Gede Primahadi Wijaya Rajeg (1234749)",2019,"Monash figshare",oai:figshare.com:article/7855127,https://figshare.com/articles/software/shield_io_figshare-doi-badge_with_logo/7855127
"Shiny app - Which Politicians Receive Abuse During 2019 Election Campaign?","Yu Liang Weng (8100224)",2021,"Sheffield figshare",oai:figshare.com:article/14923509,https://figshare.com/articles/software/Shiny_app_-_Which_Politicians_Receive_Abuse_During_2019_Election_Campaign_/14923509
"Signal Model for ""Bayesian Compressive Sensing Approaches for Direction of Arrival Estimation with Mutual Coupling Effects"" (Matlab code)","Matthew Hawes (2748253); Lyudmila Mihaylova (1230156)",2017,"Sheffield figshare",oai:figshare.com:article/4535825,https://figshare.com/articles/software/Signal_Model_for_the_paper_Bayesian_Compressive_Sensing_Approaches_for_Direction_of_Arrival_Estimation_with_Mutual_Coupling_Effects_Matlab_code_/4535825
"Signal Model for ""Location and Orientation Optimisation for Spatially Stretched Tripole Arrays Based on Compressive Sensing"" (Matlab code)","Matthew Hawes (2748253); Lyudmila Mihaylova (1230156); Wei Liu (2756044)",2017,"Sheffield figshare",oai:figshare.com:article/4535906,https://figshare.com/articles/software/Signal_Model_for_Location_and_Orientation_Optimisation_for_Spatially_Stretched_Tripole_Arrays_Based_on_Compressive_Sensing_Matlab_code_/4535906
"Simple Monte Carlo Simulator v1.0.0","Jonathan Petticrew (8070620); Simon Dimler (2894111); Jo Ng (2756020)",2018,"Sheffield figshare",oai:figshare.com:article/5683939,https://figshare.com/articles/software/Simple_Monte_Carlo_Simulator_v1_0_0/5683939
"Simulation and analysis code for ""Evolution of large-scale flow from turbulence in a two-dimensional superfluid""","Shaun Johnstone (5856914); Andrew Groszek (5906741); Phil Starkey (5922299); Christopher Billington (5906745); Tapio Simula (2590810); Kristian Helmerson (5906748)",2018,"Monash figshare",oai:figshare.com:article/7312301,https://figshare.com/articles/software/Simulation_and_analysis_code_for_Evolution_of_large-scale_flow_from_turbulence_in_a_two-dimensional_superfluid_/7312301
"Simulink model for FWMAV","Moonsoo Park (7096400); Ali Abolfathi (10233917); Yiannis Ventikos (6766343)",2021,"UCL figshare",oai:figshare.com:article/17295395,https://figshare.com/articles/software/Simulink_model_for_FWMAV/17295395
SLMtools,"David Hancock (2761960)",2018,"Sheffield figshare",oai:figshare.com:article/6463046,https://figshare.com/articles/software/SLMtools/6463046
SNPfilter.R,"Ashley Murphy (3759379)",2017,"Monash figshare",oai:figshare.com:article/5155360,https://figshare.com/articles/software/SNPfilter_R/5155360
"Software for Paper: Modeling Temperature dependent Avalanche Characteristics of InP","Jonathan Petticrew (8070620); Simon Dimler (2894111); Chee Tan (1230183); Jo Ng (2756020)",2019,"Sheffield figshare",oai:figshare.com:article/7611377,https://figshare.com/articles/software/Software_for_Paper_Modeling_Temperature_dependent_Avalanche_Characteristics_of_InP/7611377
"Software to determine the modeled optimal gait characteristic (MATLAB needed)","Izzy Moore (6690647)",2019,"Cardiff Met figshare",oai:figshare.com:article/8273534,https://figshare.com/articles/software/Software_to_determine_the_modeled_optimal_gait_characteristic_MATLAB_needed_/8273534
"Software to determine the modeled optimal gait characteristic (runtime included)","Izzy Moore (6690647)",2019,"Cardiff Met figshare",oai:figshare.com:article/8273546,https://figshare.com/articles/software/Software_to_determine_the_modeled_optimal_gait_characteristic_runtime_included_/8273546
"Software to determine the modeled optimal gait characteristic (runtime needed)","Izzy Moore (6690647)",2019,"Cardiff Met figshare",oai:figshare.com:article/8323283,https://figshare.com/articles/software/Software_to_determine_the_modeled_optimal_gait_characteristic_runtime_needed_/8323283
"Source code","Chang Wei Tan (3641935)",2019,"Monash figshare",oai:figshare.com:article/9820481,https://figshare.com/articles/software/Source_code/9820481
"Source code for FastEE","Chang Wei Tan (3641935)",2018,"Monash figshare",oai:figshare.com:article/7471562,https://figshare.com/articles/software/Source_code_for_FastEE/7471562
"Speech corpus - Matlab script - EndPoint.m","Philippa Demonte (3739711)",2019,"Salford figshare",oai:figshare.com:article/7862285,https://figshare.com/articles/software/Speech_corpus_-_Matlab_script_-_EndPoint_m/7862285
"Speech corpus - Matlab script - zeropad.m","Philippa Demonte (3739711)",2019,"Salford figshare",oai:figshare.com:article/7862303,https://figshare.com/articles/software/Speech_corpus_-_Matlab_script_-_zeropad_m/7862303
"Spin Chain Dynamics by Fixing a Single Eigenvector","Alastair Kay (4552783)",2016,"Royal Holloway figshare",oai:figshare.com:article/4110174,https://figshare.com/articles/software/Spin_Chain_Dynamics_by_Fixing_a_Single_Eigenvector/4110174
"Statharas-2019-Rosenthal MATLAB code.txt","Rob Thornton (6296861)",2019,"University of Leicester figshare repository",oai:figshare.com:article/7673480,https://figshare.com/articles/software/Statharas-2019-Rosenthal_MATLAB_code_txt/7673480
"STGP for Extended / Group Object Tracking (MATLAB code)","Waqas Aftab (3305868)",2019,"Sheffield figshare",oai:figshare.com:article/7560314,https://figshare.com/articles/software/STGP_for_Extended_Group_Object_Tracking_MATLAB_code_/7560314
"strapy - scattering and transfer matrix model, python","Angus Bridges (4460071); Andrew Yacoot (8595123); Thomas Kissinger (2598460); Ralph Tatam (2594302)",2020,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/12001236,https://figshare.com/articles/software/scampy_-_scattering_matrix_model_python/12001236
"Supplementary Material: A Quality Control Check to Ensure Comparability of Stereophotogrammetric Data between Sessions and Systems","Kirsty Scott (6656276); Tecla Bonci (6552335); Lisa Alcock (13046701); Ellen Buckley (2895950); Clint Hansen (11971148); Eran Gazit (12269294); Lars Schwickert (3486053); Andrea Cereatti (12269292); Claudia Mazza (2763664)",2021,"Sheffield figshare",oai:figshare.com:article/16780678,https://figshare.com/articles/software/Supplementary_Material_A_Quality_Control_Check_to_Ensure_Comparability_of_Stereophotogrammetric_Data_between_Sessions_and_Systems/16780678
"Supplementary material for ""An algorithm for accurate marker-based gait event detection in healthy and pathological populations during complex motor tasks""","Tecla Bonci (6552335); Francesca Salis (1895569); Kirsty Scott (6656276); Lisa Alcock (5965478); Clemens Becker (164116); Stefano Bertuletti (4795806); Ellen Buckley (2895950); Marco Caruso (138447); Andrea Cereatti (455267); Silvia Del Din (11307439...",2022,"Sheffield figshare",oai:figshare.com:article/19102619,https://figshare.com/articles/software/Supplementary_material_for_An_algorithm_for_accurate_marker-based_gait_event_detection_in_healthy_and_pathological_populations_during_complex_motor_tasks_/19102619
"Synechocystis growth rate BG11 vs Burrows media","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327482,https://figshare.com/articles/software/Synechocystis_growth_rate_BG11_vs_Burrows_media/5327482
"Synechocystis Proteomic data (H2 production)","Andrew Landels (2753536)",2018,"Sheffield figshare",oai:figshare.com:article/5327476,https://figshare.com/articles/software/Synechocystis_Proteomic_data_H2_production_/5327476
"Tensorflow Implementation of Capsule Network for Traffic Prediction","Youngjoo Kim (5341661); Peng Wang (5056985); Yifei Zhu (5850509); Lyudmila Mihaylova (1230156)",2019,"Sheffield figshare",oai:figshare.com:article/7424507,https://figshare.com/articles/software/Tensorflow_Implementation_of_Capsule_Network_for_Traffic_Prediction/7424507
"The conjecture's cover for closed unit arcs (Matlab codes)","Sittichoke Som-Am (9082433)",2020,"University of Leicester figshare repository",oai:figshare.com:article/12643151,https://figshare.com/articles/software/The_conjecture_s_cover_for_closed_unit_arcs_Matlab_codes_/12643151
"The Effect of Rotor Tilt on the Stability and Gust Rejection Properties of VTOL Multirotor Aircraft - MATLAB Codes","James Whidborne (2595775)",2020,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/12840992,https://figshare.com/articles/software/The_Effect_of_Rotor_Tilt_on_the_Stability_and_Gust_Rejection_Properties_of_VTOL_Multirotor_Aircraft_-_MATLAB_Codes/12840992
"The Effect of Wing Planform and Twist on Aerodynamic Performance and Longitudinal Stability and Control of a Falcon-like Wing in Gliding Flight","Aisyah Md khalid (2934453); Howard Smith (2594323)",2018,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/6295175,https://figshare.com/articles/software/The_Effect_of_Wing_Planform_and_Twist_on_Aerodynamic_Performance_and_Longitudinal_Stability_and_Control_of_a_Falcon-like_Wing_in_Gliding_Flight/6295175
"The Household Simulation Model (HHSM); a DES model focusing on understanding household food waste.","Cansu Kandemir (6434408); Christian Reynolds (8656134); Tom Quested (9233206); Karen Fisher (9233215); Rachel Devine (6284663); Estelle Herszenhorn (9233218); Siau Koh (1230177); David Evans (9233221)",2020,"Sheffield figshare",oai:figshare.com:article/12794528,https://figshare.com/articles/software/The_Household_Simulation_Model_HHSM_a_DES_model_focusing_on_understanding_household_food_waste_/12794528
"The methods to find the optimal configuration for three non-centrally symmetric objects (Matlab codes)","Sittichoke Som-Am (9082433)",2020,"University of Leicester figshare repository",oai:figshare.com:article/12643157,https://figshare.com/articles/software/The_methods_to_find_the_optimal_configuration_for_three_non-centrally_symmetric_objects_Matlab_codes_/12643157
"The place-cell representation of volumetric space in rats: Main analysis code for analysing summarised data.","Roddy Grieves (6785051); Selim Jedidi-Ayoub (7449404); Karyna Mishchanchuk (7077665); Anyi Liu (7449408); Sophie Renaudineau (6776609); Kate Jeffery (6773201)",2020,"UCL figshare",oai:figshare.com:article/9975398,https://figshare.com/articles/software/The_place-cell_representation_of_volumetric_space_in_rats_Main_analysis_code_for_analysing_summarised_data_/9975398
"The Role of Emotions in Autonomous Social Agents [Python Code experiment 1]","Luc Caspar (2753155)",2021,"Sheffield figshare",oai:figshare.com:article/14511117,https://figshare.com/articles/software/The_Role_of_Emotions_in_Autonomous_Social_Agents_Python_Code_experiment_1_/14511117
"The Role of Emotions in Autonomous Social Agents [Python Code experiment 2]","Luc Caspar (2753155)",2021,"Sheffield figshare",oai:figshare.com:article/14518086,https://figshare.com/articles/software/The_Role_of_Emotions_in_Autonomous_Social_Agents_Python_Code_experiment_2_/14518086
"Thesis Project Deliverables (with Zulu Forest Sciences)","Rui See (10722251)",2021,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/16592960,https://figshare.com/articles/software/Thesis_Project_Deliverables_with_Zulu_Forest_Sciences_/16592960
"TopoStats - an automated tracing program for AFM images","Joseph Beton (7075586); Alice Pyne (7132778); Agnel Praveen Joseph (9529694); Maya Topf (8152008)",2020,"Sheffield figshare",oai:figshare.com:article/13103327,https://figshare.com/articles/software/TopoStats_-_an_automated_tracing_program_for_AFM_images/13103327
"Virtual Amazon Rainforest Project","Umran Ali (3853630)",2020,"Salford figshare",oai:figshare.com:article/13312823,https://figshare.com/articles/software/Virtual_Amazon_Rainforest_Project/13312823
"Wasim (soil water balance model)","Tim Hess (2594677)",2019,"Cranfield Online Research Data (CORD)",oai:figshare.com:article/8223491,https://figshare.com/articles/software/Wasim_soil_water_balance_model_/8223491
"WellWriting Chatbot Design","Alessio Antonini (9314390); Sally Blackburn-Daniels (10010594)",2022,"Open Research Data Online (ORDO)",oai:figshare.com:article/19317989,https://figshare.com/articles/software/WellWriting_Chatbot_Design/19317989
wordpairs,"Gede Primahadi Wijaya Rajeg (1234749)",2018,"Monash figshare",oai:figshare.com:article/7122191,https://figshare.com/articles/software/wordpairs/7122191
"xraySTORM python files","Dylan O'Connell (7342502)",2019,"Monash figshare",oai:figshare.com:article/9766646,https://figshare.com/articles/software/xraySTORM_py/9766646
